datetime,open,high,low,close,volume
2025-10-13 04:00:00+00:00,6671.0,6673.75,6670.75,6672.75,0
2025-10-13 04:01:00+00:00,6673.0,6673.5,6672.75,6673.5,267
2025-10-13 04:02:00+00:00,6673.75,6673.75,6673.0,6673.5,106
2025-10-13 04:03:00+00:00,6673.75,6674.0,6673.5,6673.75,57
2025-10-13 04:04:00+00:00,6673.75,6673.75,6671.25,6672.0,499
2025-10-13 04:05:00+00:00,6672.0,6672.0,6670.75,6671.0,36
2025-10-13 04:06:00+00:00,6672.25,6672.25,6669.75,6670.0,419
2025-10-13 04:07:00+00:00,6670.5,6673.75,6670.5,6673.75,221
2025-10-13 04:08:00+00:00,6673.25,6674.25,6673.25,6673.25,490
2025-10-13 04:09:00+00:00,6673.5,6674.5,6673.25,6673.25,105
2025-10-13 04:10:00+00:00,6673.0,6673.25,6671.75,6672.5,90
2025-10-13 04:11:00+00:00,6672.75,6674.25,6672.75,6674.0,79
2025-10-13 04:12:00+00:00,6674.25,6674.5,6673.75,6674.0,139
2025-10-13 04:13:00+00:00,6674.25,6674.25,6672.5,6672.5,150
2025-10-13 04:14:00+00:00,6672.5,6674.25,6672.5,6674.25,91
2025-10-13 04:15:00+00:00,6674.0,6675.75,6674.0,6675.25,173
2025-10-13 04:16:00+00:00,6675.5,6675.75,6674.5,6674.75,131
2025-10-13 04:17:00+00:00,6674.75,6675.0,6674.5,6675.0,105
2025-10-13 04:18:00+00:00,6675.25,6675.5,6675.0,6675.5,90
2025-10-13 04:19:00+00:00,6675.5,6675.5,6674.75,6674.75,58
2025-10-13 04:20:00+00:00,6675.0,6675.0,6674.0,6674.0,86
2025-10-13 04:21:00+00:00,6674.25,6675.25,6674.25,6674.75,59
2025-10-13 04:22:00+00:00,6674.75,6675.0,6673.75,6674.0,114
2025-10-13 04:23:00+00:00,6673.75,6674.0,6672.25,6672.5,295
2025-10-13 04:24:00+00:00,6672.5,6674.5,6671.25,6674.25,187
2025-10-13 04:25:00+00:00,6674.25,6675.5,6674.0,6674.5,203
2025-10-13 04:26:00+00:00,6674.75,6675.5,6674.0,6675.25,140
2025-10-13 04:27:00+00:00,6675.25,6677.25,6675.0,6677.0,238
2025-10-13 04:28:00+00:00,6677.0,6677.0,6675.5,6675.5,105
2025-10-13 04:29:00+00:00,6676.0,6676.0,6675.25,6675.5,85
2025-10-13 04:30:00+00:00,6675.5,6676.25,6675.5,6675.5,78
2025-10-13 04:31:00+00:00,6675.0,6676.75,6675.0,6676.25,72
2025-10-13 04:32:00+00:00,6676.5,6676.5,6674.75,6676.25,370
2025-10-13 04:33:00+00:00,6676.5,6676.75,6676.5,6676.75,28
2025-10-13 04:34:00+00:00,6676.75,6676.75,6676.0,6676.5,85
2025-10-13 04:35:00+00:00,6676.25,6677.0,6676.0,6677.0,73
2025-10-13 04:36:00+00:00,6676.75,6676.75,6676.0,6676.0,80
